species_id,name,organism_type,cost,description,category,biomass,diet_type,carrying_capacity,metabolism,trophic_level,growth_rate,model_id,unlock,node_id
1,Aardvark,0,50,"The aardvark is a medium-sized, burrowing, nocturnal mammal native to Africa. It is the only living species of the order Tubulidentata, although other prehistoric species and genera of Tubulidentata are known.","Small Animal",66,1,0,0.0821097,3.08333,0,1,7,79
2,"African Clawless Otter",0,50,"The African clawless otter, also known as the cape clawless otter or groot otter, is the second largest freshwater species of otter. African clawless otters are found near permanent bodies of water in savannah and lowland forest areas.","Large Animal",13,1,0,0.123252,3.53891,0,2,6,70
3,"African Fish Eagle",0,10,"The African Fish Eagle is a large species of eagle that is found throughout sub-Saharan Africa wherever large bodies of open water occur that have an abundant food supply. It is the national bird of Zimbabwe and Zambia.",Bird,2.8,1,0,0.180922,3.78486,0,3,4,53
4,"Bat-Eared Fox",0,50,"The bat-eared fox is a canid of the African savanna, named for its large ears. Fossil records show this canid to first appear during the middle Pleistocene, about 800,000 years ago.","Large Animal",3.35,1,0,0.172989,3.55142,0,4,5,59
5,"Black Backed Jackal",0,60,"The black-backed jackal, also known as the silver-backed or red jackal, is a species of jackal which inhabits two areas of the African continent separated by roughly 900 km.","Large Animal",9.6,0,0,0.132957,3.0235,0,5,6,67
6,"Black Mamba",0,50,"The black mamba, also called the common black mamba or black-mouthed mamba, is the longest venomous snake in Africa, averaging around 2.5 to 3.2 m in length, and sometimes growing to lengths of 4.45 m.","Small Animal",1.59,1,0,0.00871558,3.57098,0,6,7,75
7,Buffalo,0,50,"The African buffalo is a large African bovine. It is not closely related to the slightly larger wild Asian water buffalo, but its ancestry remains unclear. Owing to its unpredictable nature which makes it highly dangerous to humans, it has not been domesticated unlike its Asian counterpart the domestic Asian water buffalo.","Large Animal",1590,2,0,0.0370622,2,0,7,8,88
8,Thrips,0,10,"Thrips are tiny, slender insects with fringed wings. Other common names for thrips include thunderflies, thunderbugs, storm flies, thunderblights, and corn lice.",Insect,1.1,2,0,0.00207749,2,0,999,1,8
9,"Rove and Ground Beetles",0,10,"The rove beetles are a large family of beetles, primarily distinguished by their short elytra that leave more than half of their abdomens exposed.",Insect,0.071,1,0,0.00412167,2.51786,0,999,0,9
10,"Orb-Weaver Spider",0,15,"The ""typical"" orb-weaver spiders are the most common group of builders of spiral wheel-shaped webs often found in gardens, fields and forests.",Insect,0.004,1,0,0.00846004,3.38753,0,999,2,10
11,Ants,0,10,"Ants are social insects of the family Formicidae and, along with the related wasps and bees, belong to the order Hymenoptera.",Insect,0.000004,0,0,0.0475743,2.16667,0,999,0,11
12,"Harvester Termite",0,10,"Termites are a group of eusocial insects that, until recently, were classified at the taxonomic rank of order Isoptera, but are now accepted as the epifamily Termitoidae, of the cockroach order Blattodea.",Insect,0.000002,2,0,0.0565757,2,0,51,0,12
13,Flies,0,5,"True flies are insects of the order Diptera. They possess a pair of wings on the mesothorax and a pair of halteres, derived from the hind wings, on the metathorax.",Insect,0.0000115,0,0,0.0365353,2,0,999,1,13
14,Crickets,0,14,"Crickets, family Gryllidae, are insects somewhat related to grasshoppers, and more closely related to katydids or bush crickets. They have somewhat flattened bodies and long antennae. There are about 900 species of crickets.",Insect,20,0,0,0.00100607,2.125,0,999,2,14
15,"Herbivorous True Bugs",0,10,"An order of insects also known as the Hemiptera, comprising around 50,000-80,000 species of cicadas, aphids, planthoppers, leafhoppers, shield bugs, and others.",Insect,0.071,2,0,0.00412167,2,0,999,2,15
16,Katydids,0,50,"The Katydids is part of the suborder Ensifera and the only family in the superfamily Tettigonioidea. They are also known as long-horned grasshoppers, although they are more closely related to crickets than to grasshoppers.",Insect,0.9,1,0,0.00218437,2.30357,0,999,1,16
17,"Praying Mantis",0,25,"The praying mantis is named for its prominent front legs, which are bent and held together at an angle that suggests the position of prayer. The larger group of these insects is more properly called the praying mantids. Mantis refers to the genus mantis, to which only some praying mantids belong.",Insect,0.17,1,0,0.00331341,3.25313,0,34,2,17
18,Centipede,0,10,"Centipedes are arthropods belonging to the class Chilopoda of the subphylum Myriapoda. They are elongated metameric animals with one pair of legs per body segment.",Insect,0.00014,1,0,0.0195594,3.29813,0,12,0,18
19,Cockroach,0,10,"Cockroaches are insects of the order Blattaria or Blattodea, of which about 30 species out of 4,500 total are associated with human habitations. About four species are well known as pests.",Insect,20,1,0,0.00100607,2,0,999,0,19
20,"Dwarf Puddle Frog",0,25,"The Dwarf Puddle Frog is a species of frog in the Petropedetidae family. ","Small Animal",0.04,1,0,0.0218842,3.28284,0,23,1,20
21,Millipede,0,15,"Millipedes are arthropods that have two pairs of legs per segment. Each segment that has two pairs of legs is a result of two single segments fused together as one.",Insect,0.2,0,0,0.00318149,2,0,65,1,21
22,Shrew,0,50,"A shrew or shrew mouse is a small molelike mammal classified in the order Soricomorpha. True shrews are also not to be confused with West Indies shrews, treeshrews, otter shrews, or elephant shrews, which belong to different families or orders.","Small Animal",0.68,1,0,0.257723,3.28284,0,49,0,22
23,"Banana Pipistrelle",0,20,"The Banana Pipistrelle is a species of vesper bat in the Vespertilionidae family.",Bird,0.003,1,0,1,3,0,42,0,23
24,Scorpion,0,15,"Scorpions are predatory arthropod animals of the order Scorpiones within the class Arachnida. They have eight legs and are easily recognized by the pair of grasping claws and the narrow, segmented tail.",Insect,0.005,1,0,0.00800102,3.46251,0,47,1,24
25,"Gray Flycatcher",0,15,"The African Grey Flycatcher is a species of bird in the Muscicapidae family.",Bird,0.0125,1,0,0.699927,3.13492,0,66,3,25
26,"Yellow-Breasted Apalis",0,20,"The Yellow-breasted Apalis is a species of bird in the Cisticolidae family.",Bird,0.011,0,0,0.722657,2.65786,0,67,0,26
27,"Yellow-Bellied Eremomela",0,10,"The Yellow-bellied Eremomela is a common breeding species in Africa south of the Sahara in its habitat of open woodland, savannah, and dry scrub.",Bird,0.009,0,0,0.759836,2.78074,0,68,2,27
28,"Red-Faced Crombec",0,15,"The Red-faced Crombec is a species of African warbler, formerly placed in the family Sylviidae.",Bird,0.01,2,0,0.740083,2,0,69,0,28
29,"Three-Banded Plover",0,20,"The Three-banded Plover or Three-banded Sandplover, Charadrius tricollaris, is a small wader. This plover is resident in much of eastern and southern Africa and Madagascar, mainly on inland rivers, pools and lakes.",Bird,0.035,1,0,0.541082,3.25434,0,70,0,29
30,"Dwarf Epauletted Bat",0,10,"The Dwarf Epauletted Bat is a species of megabat in the Pteropodidae family.",Bird,0.029,2,0,0.567128,2,0,71,0,30
31,"Tree Mouse",0,50,"Tree Mouse, Prionomys batesi, is a poorly understood climbing mouse from Central Africa. It is unique enough that it has been placed in a genus of its own, Prionomys, since its discovery in 1910.","Small Animal",0.0075,0,0,0.795271,2.38095,0,53,1,31
32,"Mueller's Clawed Frog",0,50,"Mueller's Clawed Frog is a species of South African aquatic frog of the genus Xenopus. Its name is derived from the three short claws on each hind foot, which it uses to tear apart its food. The word Xenopus means ""strange foot"" and laevis means ""smooth"".","Small Animal",0.13,1,0,0.0162989,2.94526,0,23,0,32
33,"Cape Teal",0,20,"The Cape Teal is a 44-46 cm long dabbling duck of open wetlands in sub-Saharan Africa. This species is essentially non-migratory, although it moves opportunistically with the rains. Like many southern ducks, the sexes are similar.",Bird,0.4,0,0,0.294283,2.29861,0,72,2,33
34,"Cape Dwarf Gecko",0,50,"The Cape Dwarf Gecko is a species of dwarf gecko found in the woodlands and forests of central and southern Africa.","Small Animal",0.0709,1,0,0.0189664,3.23584,0,24,2,34
35,Crab,0,25,"True crabs are decapod crustaceans of the infraorder Brachyura, which typically have a very short projecting ""tail"", or where the reduced abdomen is entirely hidden under the thorax.","Small Animal",250,1,0,0.0588566,2.25,0,15,5,35
36,"Creek Rat",0,50,"Creek Rate is a species of rodent in the family Muridae. Its natural habitats are moist savanna and pastureland.","Small Animal",3.5,1,0,0.00715531,2.72169,0,73,0,36
37,Catfish,0,20,"Catfishes are a diverse group of ray-finned fish. Named for their prominent barbels, which resemble a cat's whiskers.","Small Animal",0.2,1,0,0.0146348,2.5,0,74,5,37
38,"Dwarf Sand Snake",0,50,"The Dwarf Sand Snake is a very small, slender snake with a short tail. They forage in a rather secretive fashion under fallen logs and tufts of grass in moist and dry wooded savannah habitats. Although they never bite, they do not tame easily.","Small Animal",0.085,1,0,0.0181255,3.79062,0,19,2,38
39,"Pearl-Spotted Owlet",0,20,"The Pearl-Spotted Owlet is an owl which breeds in Africa south of the Sahara. This species is a part of the larger grouping of owls known as typical owls, Strigidae, which contains most species of owl.",Bird,0.085,1,0,0.433437,3.56358,0,75,0,39
40,"Yellow-Throated Sandgrouse",0,20,"The Yellow-throated Sandgrouse is a species of bird in the Pteroclididae family.",Bird,0.325,2,0,0.309963,2,0,76,0,40
41,"Striped Weasel",0,50,"The Striped Weasel, the lone member of genus Poecilogale, is a small black and white weasel native to sub-Saharan Africa. It looks very much like a striped polecat, but it is much thinner and has shorter hair.","Small Animal",0.287,1,0,0.319749,3.52954,0,79,0,41
42,"African Grey Hornbill",0,20,"The African Grey Hornbill is a hornbill. Hornbills are a family of tropical near-passerine birds found in the Old World. The African Grey Hornbill is a widespread and common resident breeder in much of sub-Saharan Africa and into Arabia.",Bird,0.205,0,0,0.34781,2.66657,0,77,3,42
43,"Coqui Francolin",0,20,"The Coqui Francolin is a species of bird in the Phasianidae family.",Bird,0.03,0,0,0.562341,2.25,0,78,0,43
44,"Rufous Beaked Snake",0,25,"The Rufous Beaked Snake is a species of colubrid from West Africa. It is named for its hooked snout, which it uses to dig burrows, and reddish-brown back scales. It hunts small animals during the day with the help of its venomous bite.","Small Animal",0.028,1,0,0.0239252,3.50856,0,46,3,44
45,"Four Toed African Hedgehog",0,50,"Four Toed African Hedgehog is a species of hedgehog found throughout much of central and eastern Africa.  Populations tend to be scattered between suitable savannah or cropland habitats, avoiding forested areas. The species common name is derived from the number of toes found on its rear feet.","Small Animal",0.425,0,0,0.289857,2.8657,0,27,3,45
46,"Little Grebe",0,20,"The Little Grebe, also known as Dabchick, is a member of the grebe family of water birds. At 23 to 29 cm in length it is the smallest European member of its family.",Bird,0.14,1,0,0.382603,3.56238,0,999,3,46
47,"White-Bellied Bustard",0,10,"The White-bellied Bustard or White-bellied Korhaan is an African species of bustard.",Bird,5.45,0,0,0.153173,2.9194,0,55,3,47
48,"Bush Hyrax",0,25,"The yellow-spotted rock hyrax or bush hyrax is a species of mammal in the family Procaviidae.","Small Animal",4.49,2,0,0.160775,2,0,9,4,48
49,"African Marsh Owl",0,20,"The African Marsh Owl is a species of owl which is a mainly resident breeder in Africa and Madagascar.",Bird,0.355,1,0,0.303196,3.66074,0,35,4,49
50,"Dwarf Mongoose",0,50,"The common dwarf mongoose, sometimes just called the dwarf mongoose, is a small African carnivore belonging to the mongoose family.","Small Animal",0.349,0,0,0.304491,2.94236,0,18,3,50
51,"Hooded Vulture",0,20,"The Hooded Vulture is an Old World vulture in the order Accipitriformes, which also includes eagles, kites, buzzards and hawks. It is the only member of the genus Necrosyrtes.",Bird,2.05,1,0,0.195588,3.50814,0,54,4,51
52,"Smith's Red Hock Hare",0,50,"Smith's Red Hock Hare is a species of mammal in the Leporidae family.","Small Animal",7,2,0,0.143882,2,0,26,4,52
53,"Southern Eland",0,50,"The common eland, also known as the southern eland or eland antelope, is a savannah and plains antelope found in East and Southern Africa. It is a species of the family Bovidae and genus Taurotragus.","Large Animal",470,2,0,0.0502639,2,0,20,0,89
54,"Domestic Chicken",0,25,Bird,Bird,10,0,0,0.5,1,0,0,0,54
55,"Greater Bushbaby",0,50,"Greater Bushbabies are small, nocturnal primates native to continental Africa, and make up the family Galagidae. According to some accounts, the name ""bush baby"" comes from either the animal's cries or appearance.","Small Animal",0.213,0,0,0.344497,2.62173,0,8,0,55
56,"Marabou Stork",0,20,"The Marabou Stork, Leptoptilos crumeniferus, is a large wading bird in the stork family Ciconiidae. It breeds in Africa south of the Sahara, occurring in both wet and arid habitats, often near human habitation, especially waste tips.",Bird,6.25,1,0,0.148017,3.58348,0,85,0,56
57,"Southern Ground Hornbill",0,20,"The Southern Ground Hornbill or cafer, is one of two species of ground hornbill and is the largest species of hornbill. It is a large bird, at 90 to 129 cm long.",Bird,4.2,1,0,0.163481,3.56295,0,86,4,57
58,"Domestic Cat",0,10,Animal,Animal,10,1,0,0.5,1,0,0,0,58
59,"African Elephant",0,50,"African elephants are the species of elephants in the genus Loxodonta, one of the two existing genera in Elephantidae. Although it is commonly believed that the genus was named by Georges Cuvier in 1825, Cuvier spelled it Loxodonte.","Large Animal",5520,2,0,0.0271516,2,0,21,8,95
60,"Spot Necked Otter",0,50,"The spotted-necked otter, or speckle-throated otter, is an otter native to sub-Saharan Africa. It is a smallish otter, 95-105 cm long, including the tail, and weighing 3.0 to 6.5 kg.","Large Animal",6.1,1,0,0.148918,3.375,0,39,5,60
61,"Leopard Tortoise",0,25,"The Leopard tortoise is a large and attractively marked tortoise found in the savannas of eastern and southern Africa, from Sudan to the southern Cape.","Small Animal",54,0,0,0.00361033,2.78568,0,32,5,61
62,"African White-Backed Vulture",0,25,"African White-Backed Vulture is an Old World vulture in the family Accipitridae, which also includes eagles, kites, buzzards and hawks.","excluded bird",4000,1,0,0.69,1,0,54,0,62
63,"Lappet-Faced Vulture",0,20,"The Lappet-faced Vulture or Nubian Vulture is a mostly African Old World vulture belonging to the bird order Accipitriformes, which also includes eagles, kites, buzzards and hawks. It is the only member of the genus Torgos.",Bird,7.85,1,0,0.139818,3.49293,0,54,5,63
64,"Nile Monitor Lizard",0,50,"The Nile Monitor, Water Leguaan, or River Leguaan is a large member of the monitor lizard family. Nile Monitors can grow to about 9 ft in length. They have muscular bodies, strong legs and powerful jaws.","Small Animal",10.4,1,0,0.00544988,3.48947,0,36,5,64
65,"Kori Buskard",0,60,"The Kori Bustard is a large bird native to Africa. It is a member of the bustard family. It may be the heaviest bird capable of flight.",Bird,13,0,0,0.123252,2.61792,0,30,0,65
66,"Black and White Columbus Monkey",0,50,"Black-and-white colobuses are Old World monkeys of the genus Colobus, native to Africa. They are closely related to the brown colobus monkeys of genus Piliocolobus.","Large Animal",10.2,0,0,0.130957,2.125,0,37,5,66
67,Hippopotamus,0,50,"The hippopotamus, or hippo, from the ancient Greek for ""river horse"", is a large, mostly herbivorous mammal in sub-Saharan Africa, and one of only two extant species in the family Hippopotamidae.","Large Animal",1550,2,0,0.037299,2,0,80,8,94
68,"Ground Pangolin",0,60,"The Ground Pangolin, also known as Temminck's Pangolin or the Cape Pangolin, is one of four species of pangolin which can be found in Africa and the only one in southern and eastern Africa.","Small Animal",15.9,1,0,0.117201,3.08333,0,41,6,68
69,"Serval Cat",0,50,"The serval, Leptailurus serval or Caracal serval, known in Afrikaans as Tierboskat, ""tiger-forest-cat"", is a medium-sized African wild cat. DNA studies have shown that the serval is closely related to the African golden cat and the caracal.","Large Animal",12.5,1,0,0.124467,3.43754,0,48,6,69
70,"Black Rhinoceros",0,50,"The black rhinoceros or hook-lipped rhinoceros, is a species of rhinoceros, native to the eastern and central areas of Africa.","Large Animal",1100,2,0,0.040638,2,0,45,8,93
71,"Kirk's Dik-dik",0,50,"Kirk's Dik-dik is a small antelope found in eastern and southwestern Africa. It grows to 70 centimetres in length and weighs up to 7 kilograms when full grown.","Large Animal",4.99,2,0,0.156587,2,0,17,6,71
72,"Crested Porcupine",0,50,"The crested porcupine is a species of rodent in the Hystricidae family.","Large Animal",0.3,2,0,0.316228,2,0,43,6,72
73,Oribi,0,50,"Oribi are graceful slender-legged, long-necked small antelope found in grassland almost throughout Sub-Saharan Africa.","Large Animal",17,2,0,0.115257,2,0,81,4,73
74,"African Wild Dog",0,50,"African Wild Dog is a canid found only in Africa, especially in savannas and lightly wooded areas.","Large Animal",23.8,1,0,0.105959,3.30203,0,56,7,74
75,"Masai Giraffe",0,50,"The Masai Giraffe or Maasai Giraffe, also known as the Kilimanjaro Giraffe is the largest subspecies of giraffe and the tallest land mammal. It is found in Kenya and Tanzania.","Large Animal",1250,2,0,0.0393598,2,0,25,8,92
76,"Domestic Dog",0,20,"The domestic dog, is a subspecies of the gray wolf, a member of the Canidae family of the mammilian order Carnivora. The term ""domestic dog"" is generally used for both domesticated and feral varieties.",animal,10,0,0,0.5,1,0,0,0,76
77,"Striped Hyena",0,50,"The striped hyena is a species of true hyena native to North and East Africa.","Large Animal",38.5,1,0,0.093954,3.17092,0,28,7,77
78,"Domestic Goat",0,25,animal,animal,2500,2,0,0.5,1,0,0,0,78
79,"Domestic Cattle",0,50,animal,animal,10,2,0,0.5,1,0,0,0,90
80,Leopard,0,50,"The leopard, Panthera pardus, is a member of the Felidae family and the smallest of the four ""big cats"" in the genus Panthera, the other three being the tiger, lion, and jaguar.","Large Animal",41.5,1,0,0.0922079,3.42426,0,31,4,80
81,"Domestic Sheep",0,20,animal,animal,10,2,0,0.5,1,0,0,0,81
82,"Bohor Reedbuck",0,50,"The Bohor Reedbuck is an antelope native to central Africa in the genus Redunca, that mostly lives in grasslands near water.","Large Animal",50,2,0,0.0880112,2,0,82,7,82
83,"Bush Pig",0,50,"The bushpig, Potamochoerus larvatus, is a member of the pig family and lives in forests, woodland, riverine vegetation and reedbeds in East and Southern Africa.","Large Animal",103,0,0,0.0734634,2.33591,0,10,7,83
84,Human,0,150,animal,animal,10,0,0,0.5,1,0,0,0,84
85,Ostrich,0,20,"The Ostrich is one or two species of large flightless birds native to Africa, the only living member of the genus Struthio.",Bird,108,2,0,0.072598,2.125,0,38,7,85
86,Lion,0,50,"The lion is one of the four big cats in the genus Panthera, and a member of the family Felidae. With some males exceeding 250 kg in weight, it is the second-largest living cat after the tiger.","Large Animal",156,1,0,0.0662215,3.22409,0,33,5,86
87,Topi,0,50,"Topis are a highly social and fast antelope species of the genus ' Damaliscus.","Large Animal",112,0,0,0.0719409,2,0,52,8,87
88,"Nile Crocodile",0,50,"The Nile crocodile has a somewhat deserved reputation as a vicious man-eater. The proximity of much of its habitat to people means run-ins are frequent.","Large Animal",388,1,0,0.00220515,3.63713,0,16,6,91
89,"Decaying Material",0,20,"Decaying Materials are great sources of food for a variety of animals.",Resource,1000,0,10000,0.5,1,1,999,1,1
1001,"Trees and Shrubs",1,5,Special,Plant,40,0,10000,0.5,1,1,0,0,7
1002,"Plant Juices",1,5,Special,Plant,20,0,10000,0.5,1,1,0,0,2
1003,"Fruits and Nectar",1,5,Special,Plant,20,0,10000,0.5,1,1,0,0,3
1004,"Grains and Seeds",1,5,Special,Plant,20,0,10000,0.5,1,1,0,0,4
1005,"Grass and Herbs",1,9,"Grasses are among the most versatile life forms. They became widespread toward the end of the Cretaceous period, and fossilized dinosaur dung have been found containing phytoliths of a variety of grasses that include grasses that are related to modern rice and bamboo.",Plant,40,0,10000,0.5,1,1,8,3,5
1006,Crops,1,6,none,Plant,20,0,10000,0.5,1,1,0,0,1
1007,Acacia,1,30,"Acacia is a genus of shrubs and trees belonging to the subfamily Mimosoideae of the family Fabaceae, first described in Africa by the Swedish botanist Carl Linnaeus in 1773.

22% Plant Juices
22% Fruits and Nectar
22% Grains and Seeds
33% Trees and Shrub",Plant,2400,0,10000,0.5,1,1,1,1,2
1007,Acacia,1,30,"Acacia is a genus of shrubs and trees belonging to the subfamily Mimosoideae of the family Fabaceae, first described in Africa by the Swedish botanist Carl Linnaeus in 1773.

22% Plant Juices
22% Fruits and Nectar
22% Grains and Seeds
33% Trees and Shrub",Plant,2400,0,10000,0.5,1,1,1,1,3
1007,Acacia,1,30,"Acacia is a genus of shrubs and trees belonging to the subfamily Mimosoideae of the family Fabaceae, first described in Africa by the Swedish botanist Carl Linnaeus in 1773.

22% Plant Juices
22% Fruits and Nectar
22% Grains and Seeds
33% Trees and Shrub",Plant,2400,0,10000,0.5,1,1,1,1,4
1007,Acacia,1,30,"Acacia is a genus of shrubs and trees belonging to the subfamily Mimosoideae of the family Fabaceae, first described in Africa by the Swedish botanist Carl Linnaeus in 1773.

22% Plant Juices
22% Fruits and Nectar
22% Grains and Seeds
33% Trees and Shrub",Plant,2400,0,10000,0.5,1,1,1,1,7
1008,"Big Tree",1,50,"Trees are an important component of the natural landscape because of their prevention of erosion and the provision of a weather-sheltered ecosystem in and under their foliage. They also play an important role in producing oxygen and reducing carbon dioxide in the atmosphere, as well as moderating ground temperatures.

33% Plant Juices
8% Fruits and Nectar
25% Grains and Seeds
33% Trees and Shrub",Plant,3200,0,10000,0.5,1,1,3,5,2
1008,"Big Tree",1,50,"Trees are an important component of the natural landscape because of their prevention of erosion and the provision of a weather-sheltered ecosystem in and under their foliage. They also play an important role in producing oxygen and reducing carbon dioxide in the atmosphere, as well as moderating ground temperatures.

33% Plant Juices
8% Fruits and Nectar
25% Grains and Seeds
33% Trees and Shrub",Plant,3200,0,10000,0.5,1,1,3,5,3
1008,"Big Tree",1,50,"Trees are an important component of the natural landscape because of their prevention of erosion and the provision of a weather-sheltered ecosystem in and under their foliage. They also play an important role in producing oxygen and reducing carbon dioxide in the atmosphere, as well as moderating ground temperatures.

33% Plant Juices
8% Fruits and Nectar
25% Grains and Seeds
33% Trees and Shrub",Plant,3200,0,10000,0.5,1,1,3,5,4
1008,"Big Tree",1,50,"Trees are an important component of the natural landscape because of their prevention of erosion and the provision of a weather-sheltered ecosystem in and under their foliage. They also play an important role in producing oxygen and reducing carbon dioxide in the atmosphere, as well as moderating ground temperatures.

33% Plant Juices
8% Fruits and Nectar
25% Grains and Seeds
33% Trees and Shrub",Plant,3200,0,10000,0.5,1,1,3,5,7
1009,Baobab,1,75,"Baobab is a genus of eight species of tree, six native to Madagascar, one native to mainland Africa and the Arabian Peninsula and one to Australia. The mainland African species also occurs on Madagascar, but it is not a native of that island.

23% Plant Juices
23% Fruits and Nectar
23% Grains and Seeds
30% Trees and Shrub",Plant,4400,0,10000,0.5,1,1,5,10,2
1009,Baobab,1,75,"Baobab is a genus of eight species of tree, six native to Madagascar, one native to mainland Africa and the Arabian Peninsula and one to Australia. The mainland African species also occurs on Madagascar, but it is not a native of that island.

23% Plant Juices
23% Fruits and Nectar
23% Grains and Seeds
30% Trees and Shrub",Plant,4400,0,10000,0.5,1,1,5,10,3
1009,Baobab,1,75,"Baobab is a genus of eight species of tree, six native to Madagascar, one native to mainland Africa and the Arabian Peninsula and one to Australia. The mainland African species also occurs on Madagascar, but it is not a native of that island.

23% Plant Juices
23% Fruits and Nectar
23% Grains and Seeds
30% Trees and Shrub",Plant,4400,0,10000,0.5,1,1,5,10,4
1009,Baobab,1,75,"Baobab is a genus of eight species of tree, six native to Madagascar, one native to mainland Africa and the Arabian Peninsula and one to Australia. The mainland African species also occurs on Madagascar, but it is not a native of that island.

23% Plant Juices
23% Fruits and Nectar
23% Grains and Seeds
30% Trees and Shrub",Plant,4400,0,10000,0.5,1,1,5,10,7
